step,k,minCalibratedJointProbability,maxLegs,maxCombinedOdds,capMin,capMax,recencyWeighting,nLeagueMin,includeConf,trainCoupons,trainHitRate,trainRoi,testCoupons,testHitRate,testRoi,testMaxDrawdown,verdict
1,5,0.35,3,6,0.05,0.9,"flat",15,true,1230,0.45528455284552843,1.0027026829268273,96,0.4895833333333333,0.47052187500000003,8,"PASS"
1,5,0.35,3,6,0.1,0.8,"flat",15,true,1230,0.45528455284552843,1.0027026829268273,96,0.4895833333333333,0.47052187500000003,8,"PASS"
1,5,0.35,3,6,0.1,0.85,"flat",15,true,1230,0.45528455284552843,1.0027026829268273,96,0.4895833333333333,0.47052187500000003,8,"PASS"
1,5,0.35,3,6,0.1,0.9,"flat",15,true,1230,0.45528455284552843,1.0027026829268273,96,0.4895833333333333,0.47052187500000003,8,"PASS"
1,5,0.35,3,6,0.15,0.8,"flat",15,true,1230,0.45528455284552843,1.0027026829268273,96,0.4895833333333333,0.47052187500000003,8,"PASS"
1,5,0.35,3,6,0.15,0.85,"flat",15,true,1230,0.45528455284552843,1.0027026829268273,96,0.4895833333333333,0.47052187500000003,8,"PASS"
1,5,0.35,3,6,0.15,0.9,"flat",15,true,1230,0.45528455284552843,1.0027026829268273,96,0.4895833333333333,0.47052187500000003,8,"PASS"
1,5,0.4,3,6,0.05,0.8,"flat",15,true,1087,0.45262189512419504,1.0037086476540953,90,0.4888888888888889,0.4696566666666668,8,"PASS"
1,5,0.4,3,6,0.05,0.85,"flat",15,true,1087,0.45262189512419504,1.0037086476540953,90,0.4888888888888889,0.4696566666666668,8,"PASS"
1,5,0.4,3,6,0.05,0.9,"flat",15,true,1087,0.45262189512419504,1.0037086476540953,90,0.4888888888888889,0.4696566666666668,8,"PASS"
1,5,0.4,3,6,0.1,0.8,"flat",15,true,1087,0.45262189512419504,1.0037086476540953,90,0.4888888888888889,0.4696566666666668,8,"PASS"
1,5,0.4,3,6,0.1,0.85,"flat",15,true,1087,0.45262189512419504,1.0037086476540953,90,0.4888888888888889,0.4696566666666668,8,"PASS"
1,5,0.4,3,6,0.1,0.9,"flat",15,true,1087,0.45262189512419504,1.0037086476540953,90,0.4888888888888889,0.4696566666666668,8,"PASS"
1,5,0.4,3,6,0.15,0.8,"flat",15,true,1087,0.45262189512419504,1.0037086476540953,90,0.4888888888888889,0.4696566666666668,8,"PASS"
1,5,0.4,3,6,0.15,0.85,"flat",15,true,1087,0.45262189512419504,1.0037086476540953,90,0.4888888888888889,0.4696566666666668,8,"PASS"
1,5,0.4,3,6,0.15,0.9,"flat",15,true,1087,0.45262189512419504,1.0037086476540953,90,0.4888888888888889,0.4696566666666668,8,"PASS"
1,5,0.45,3,6,0.05,0.8,"flat",15,true,759,0.4492753623188406,1.0280922266139665,85,0.47058823529411764,0.3564600000000001,7,"PASS"
1,5,0.45,3,6,0.05,0.85,"flat",15,true,759,0.4492753623188406,1.0280922266139665,85,0.47058823529411764,0.3564600000000001,7,"PASS"
1,5,0.45,3,6,0.05,0.9,"flat",15,true,759,0.4492753623188406,1.0280922266139665,85,0.47058823529411764,0.3564600000000001,7,"PASS"
1,5,0.45,3,6,0.1,0.8,"flat",15,true,759,0.4492753623188406,1.0280922266139665,85,0.47058823529411764,0.3564600000000001,7,"PASS"
1,5,0.45,3,6,0.1,0.85,"flat",15,true,759,0.4492753623188406,1.0280922266139665,85,0.47058823529411764,0.3564600000000001,7,"PASS"
1,5,0.45,3,6,0.1,0.9,"flat",15,true,759,0.4492753623188406,1.0280922266139665,85,0.47058823529411764,0.3564600000000001,7,"PASS"
1,5,0.45,3,6,0.15,0.8,"flat",15,true,759,0.4492753623188406,1.0280922266139665,85,0.47058823529411764,0.3564600000000001,7,"PASS"
1,5,0.45,3,6,0.15,0.85,"flat",15,true,759,0.4492753623188406,1.0280922266139665,85,0.47058823529411764,0.3564600000000001,7,"PASS"
1,5,0.45,3,6,0.15,0.9,"flat",15,true,759,0.4492753623188406,1.0280922266139665,85,0.47058823529411764,0.3564600000000001,7,"PASS"
1,10,0.25,3,6,0.05,0.8,"flat",15,true,1334,0.4482758620689655,0.9572575712143896,99,0.5050505050505051,0.5622737373737376,7,"PASS"
1,10,0.25,3,6,0.05,0.85,"flat",15,true,1334,0.4482758620689655,0.9572575712143896,99,0.5050505050505051,0.5622737373737376,7,"PASS"
1,10,0.25,3,6,0.05,0.9,"flat",15,true,1334,0.4482758620689655,0.9572575712143896,99,0.5050505050505051,0.5622737373737376,7,"PASS"
1,10,0.25,3,6,0.1,0.8,"flat",15,true,1334,0.4482758620689655,0.9572575712143896,99,0.5050505050505051,0.5622737373737376,7,"PASS"
1,10,0.25,3,6,0.1,0.85,"flat",15,true,1334,0.4482758620689655,0.9572575712143896,99,0.5050505050505051,0.5622737373737376,7,"PASS"
1,10,0.25,3,6,0.1,0.9,"flat",15,true,1334,0.4482758620689655,0.9572575712143896,99,0.5050505050505051,0.5622737373737376,7,"PASS"
1,10,0.25,3,6,0.15,0.8,"flat",15,true,1334,0.4482758620689655,0.9572575712143896,99,0.5050505050505051,0.5622737373737376,7,"PASS"
1,10,0.25,3,6,0.15,0.85,"flat",15,true,1334,0.4482758620689655,0.9572575712143896,99,0.5050505050505051,0.5622737373737376,7,"PASS"
1,10,0.25,3,6,0.15,0.9,"flat",15,true,1334,0.4482758620689655,0.9572575712143896,99,0.5050505050505051,0.5622737373737376,7,"PASS"
1,10,0.3,3,6,0.05,0.8,"flat",15,true,1290,0.45348837209302323,0.9771291472868192,98,0.5,0.5198479591836735,7,"PASS"
1,10,0.3,3,6,0.05,0.85,"flat",15,true,1290,0.45348837209302323,0.9771291472868192,98,0.5,0.5198479591836735,7,"PASS"
1,10,0.3,3,6,0.05,0.9,"flat",15,true,1290,0.45348837209302323,0.9771291472868192,98,0.5,0.5198479591836735,7,"PASS"
1,10,0.3,3,6,0.1,0.8,"flat",15,true,1290,0.45348837209302323,0.9771291472868192,98,0.5,0.5198479591836735,7,"PASS"
1,10,0.3,3,6,0.1,0.85,"flat",15,true,1290,0.45348837209302323,0.9771291472868192,98,0.5,0.5198479591836735,7,"PASS"
1,10,0.3,3,6,0.1,0.9,"flat",15,true,1290,0.45348837209302323,0.9771291472868192,98,0.5,0.5198479591836735,7,"PASS"
1,10,0.3,3,6,0.15,0.8,"flat",15,true,1290,0.45348837209302323,0.9771291472868192,98,0.5,0.5198479591836735,7,"PASS"
1,10,0.3,3,6,0.15,0.85,"flat",15,true,1290,0.45348837209302323,0.9771291472868192,98,0.5,0.5198479591836735,7,"PASS"
1,10,0.3,3,6,0.15,0.9,"flat",15,true,1290,0.45348837209302323,0.9771291472868192,98,0.5,0.5198479591836735,7,"PASS"
1,10,0.35,3,6,0.05,0.8,"flat",15,true,1232,0.4496753246753247,0.9661510551948043,96,0.4895833333333333,0.47052187500000003,8,"PASS"
1,10,0.35,3,6,0.05,0.85,"flat",15,true,1232,0.4496753246753247,0.9661510551948043,96,0.4895833333333333,0.47052187500000003,8,"PASS"
1,10,0.35,3,6,0.05,0.9,"flat",15,true,1232,0.4496753246753247,0.9661510551948043,96,0.4895833333333333,0.47052187500000003,8,"PASS"
1,10,0.35,3,6,0.1,0.8,"flat",15,true,1232,0.4496753246753247,0.9661510551948043,96,0.4895833333333333,0.47052187500000003,8,"PASS"
1,10,0.35,3,6,0.1,0.85,"flat",15,true,1232,0.4496753246753247,0.9661510551948043,96,0.4895833333333333,0.47052187500000003,8,"PASS"
1,10,0.35,3,6,0.1,0.9,"flat",15,true,1232,0.4496753246753247,0.9661510551948043,96,0.4895833333333333,0.47052187500000003,8,"PASS"
1,10,0.35,3,6,0.15,0.8,"flat",15,true,1232,0.4496753246753247,0.9661510551948043,96,0.4895833333333333,0.47052187500000003,8,"PASS"
1,10,0.35,3,6,0.15,0.85,"flat",15,true,1232,0.4496753246753247,0.9661510551948043,96,0.4895833333333333,0.47052187500000003,8,"PASS"
1,10,0.35,3,6,0.15,0.9,"flat",15,true,1232,0.4496753246753247,0.9661510551948043,96,0.4895833333333333,0.47052187500000003,8,"PASS"
